basename,deepest_name,names
290_20210904175214_13102,Diptera,"['Insecta', 'Animalia', 'Diptera']"
271_20210918011004_4714,Hymenoptera,"['Hymenoptera', 'Insecta', 'Animalia']"
178_20200618011145_15058,Chironomidae,"['Insecta', 'Animalia', 'Diptera', 'Chironomidae']"
192_20200712120837_2782,Caenidae,"['Caenidae', 'Ephemeroptera', 'Insecta', 'Animalia']"
118_20200819031806_30904,Hymenoptera,"['Hymenoptera', 'Insecta', 'Animalia']"
261_20210816224721_19250,Psychodidae,"['Psychodidae', 'Insecta', 'Animalia', 'Diptera']"
120_20200626004441_8059,Diptera,"['Insecta', 'Animalia', 'Diptera']"
170_20200814052839_5036_t,Hemiptera,"['Insecta', 'Animalia', 'Hemiptera']"
174_20200719132241_16781,Caenidae,"['Caenidae', 'Ephemeroptera', 'Insecta', 'Animalia']"
170_20200809000619_4440_t,Insecta,"['Insecta', 'Animalia']"
150_20200630011108_15626,Chironomidae,"['Insecta', 'Animalia', 'Diptera', 'Chironomidae']"
153_20200624024119_2147,Caenidae,"['Caenidae', 'Ephemeroptera', 'Insecta', 'Animalia']"
293_20210910054352_27019,Chironomidae,"['Insecta', 'Animalia', 'Diptera', 'Chironomidae']"
148_20200724021032_8187,Diptera,"['Insecta', 'Animalia', 'Diptera']"
192_20200721171515_16218,Insecta,"['Insecta', 'Animalia']"
126_20200804023922_31708,Cecidomyiidae,"['Insecta', 'Animalia', 'Diptera', 'Cecidomyiidae']"
126_20200713231550_12497,Chironomidae,"['Insecta', 'Animalia', 'Diptera', 'Chironomidae']"
294_20210804233533_3486_t,Cicadellidae,"['Insecta', 'Cicadellidae', 'Animalia', 'Hemiptera']"
174_20200724175821_3027_t,Caenidae,"['Caenidae', 'Ephemeroptera', 'Insecta', 'Animalia']"
178_20200621002034_26410,Leptoceridae,"['Insecta', 'Animalia', 'Trichoptera', 'Leptoceridae']"
159_20200725020838_15570,Cicadellidae,"['Insecta', 'Cicadellidae', 'Animalia', 'Hemiptera']"
157_20200626014649_38206,Crambidae,"['Insecta', 'Animalia', 'Crambidae', 'Lepidoptera']"
192_20200714210351_1123,Caenidae,"['Caenidae', 'Ephemeroptera', 'Insecta', 'Animalia']"
126_20200809221918_12067,Chironomidae,"['Insecta', 'Animalia', 'Diptera', 'Chironomidae']"
169_20200621012852_6046,Chironomidae,"['Insecta', 'Animalia', 'Diptera', 'Chironomidae']"
141_20200716233636_19444,Cecidomyiidae,"['Insecta', 'Animalia', 'Diptera', 'Cecidomyiidae']"
118_20200616024821_20282,Dermaptera,"['Insecta', 'Animalia', 'Dermaptera']"
213_20210725224455_36093,Araneae,"['Animalia', 'Araneae', 'Arachnida']"
150_20200627012324_5797,Insecta,"['Insecta', 'Animalia']"
170_20200812043746_2521,Tortricidae,"['Insecta', 'Animalia', 'Tortricidae', 'Lepidoptera']"
192_20200724194326_17523,Caenidae,"['Caenidae', 'Ephemeroptera', 'Insecta', 'Animalia']"
147_20200625014739_26846,Chrysoteuchia culmella,"['Insecta', 'Animalia', 'Crambidae', 'Chrysoteuchia', 'Lepidoptera', 'Chrysoteuchia culmella']"
280_20210820235706_40709,Cicadellidae,"['Insecta', 'Cicadellidae', 'Animalia', 'Hemiptera']"
174_20200721135340_23743,Caenidae,"['Caenidae', 'Ephemeroptera', 'Insecta', 'Animalia']"
268_20210914215828_31682,Insecta,"['Insecta', 'Animalia']"
182_20200703232152_11870,Opiliones,"['Animalia', 'Opiliones', 'Arachnida']"
192_20200805205425_28829,Caenidae,"['Caenidae', 'Ephemeroptera', 'Insecta', 'Animalia']"
264_20210811001258_29436,Cicadellidae,"['Insecta', 'Cicadellidae', 'Animalia', 'Hemiptera']"
178_20200618003626_9024,Chironomidae,"['Insecta', 'Animalia', 'Diptera', 'Chironomidae']"
192_20200715165926_1010_t,Caenidae,"['Caenidae', 'Ephemeroptera', 'Insecta', 'Animalia']"
124_20200807020809_27947,Caenidae,"['Caenidae', 'Ephemeroptera', 'Insecta', 'Animalia']"
192_20200721171515_16158,Caenidae,"['Caenidae', 'Ephemeroptera', 'Insecta', 'Animalia']"
175_20200801021727_19331,Chironomidae,"['Insecta', 'Animalia', 'Diptera', 'Chironomidae']"
157_20200626160239_26430,Diptera,"['Insecta', 'Animalia', 'Diptera']"
294_20210815044959_1569,Cicadellidae,"['Insecta', 'Cicadellidae', 'Animalia', 'Hemiptera']"
126_20200813025844_29400,Noctuidae,"['Insecta', 'Animalia', 'Lepidoptera', 'Noctuidae']"
174_20200722013152_11306,Caenidae,"['Caenidae', 'Ephemeroptera', 'Insecta', 'Animalia']"
170_20200610023448_27800,Crambidae,"['Insecta', 'Animalia', 'Crambidae', 'Lepidoptera']"
271_20210918022012_28740,Aphididae,"['Insecta', 'Animalia', 'Hemiptera', 'Aphididae']"
168_20200805235033_22382,Cecidomyiidae,"['Insecta', 'Animalia', 'Diptera', 'Cecidomyiidae']"
126_20200729024425_3730,Chironomidae,"['Insecta', 'Animalia', 'Diptera', 'Chironomidae']"
192_20200805230156_2075_t,Caenidae,"['Caenidae', 'Ephemeroptera', 'Insecta', 'Animalia']"
157_20200708023924_26076,Chironomidae,"['Insecta', 'Animalia', 'Diptera', 'Chironomidae']"
126_20200816000112_4681_t,Corixidae,"['Insecta', 'Animalia', 'Hemiptera', 'Corixidae']"
126_20200809010911_35525,Chironomidae,"['Insecta', 'Animalia', 'Diptera', 'Chironomidae']"
148_20200622004744_2377,Limoniidae,"['Insecta', 'Animalia', 'Diptera', 'Limoniidae']"
164_20200714013854_147_t,Chironomidae,"['Insecta', 'Animalia', 'Diptera', 'Chironomidae']"
172_20200811020727_40418,Chironomidae,"['Insecta', 'Animalia', 'Diptera', 'Chironomidae']"
108_20200810225021_11931,Insecta,"['Insecta', 'Animalia']"
192_20200722171634_36268,Caenidae,"['Caenidae', 'Ephemeroptera', 'Insecta', 'Animalia']"
118_20200826223858_26611,Chironomidae,"['Insecta', 'Animalia', 'Diptera', 'Chironomidae']"
126_20200809221918_12070,Chironomidae,"['Insecta', 'Animalia', 'Diptera', 'Chironomidae']"
120_20200724235306_8601,Chironomidae,"['Insecta', 'Animalia', 'Diptera', 'Chironomidae']"
170_20200724043027_37136,Cicadellidae,"['Insecta', 'Cicadellidae', 'Animalia', 'Hemiptera']"
108_20200810015125_14476,Chironomidae,"['Insecta', 'Animalia', 'Diptera', 'Chironomidae']"
174_20200725100322_39925,Caenidae,"['Caenidae', 'Ephemeroptera', 'Insecta', 'Animalia']"
246_20210906011832_38309,Chironomidae,"['Insecta', 'Animalia', 'Diptera', 'Chironomidae']"
126_20200821001050_221_t,Crambidae,"['Insecta', 'Animalia', 'Crambidae', 'Lepidoptera']"
169_20200621235227_82_t,Trichoptera,"['Insecta', 'Animalia', 'Trichoptera']"
153_20200617152451_38422,Caenidae,"['Caenidae', 'Ephemeroptera', 'Insecta', 'Animalia']"
153_20200616190340_37177,Caenidae,"['Caenidae', 'Ephemeroptera', 'Insecta', 'Animalia']"
192_20200805205425_28792,Caenidae,"['Caenidae', 'Ephemeroptera', 'Insecta', 'Animalia']"
196_20200807032528_27286,Chironomidae,"['Insecta', 'Animalia', 'Diptera', 'Chironomidae']"
126_20200707030349_1285_t,Diptera,"['Insecta', 'Animalia', 'Diptera']"
126_20200816012805_27832,Chironomidae,"['Insecta', 'Animalia', 'Diptera', 'Chironomidae']"
170_20200809002932_41264,Cicadellidae,"['Insecta', 'Cicadellidae', 'Animalia', 'Hemiptera']"
246_20210901062011_19607,Cicadellidae,"['Insecta', 'Cicadellidae', 'Animalia', 'Hemiptera']"
174_20200720114231_8517,Caenidae,"['Caenidae', 'Ephemeroptera', 'Insecta', 'Animalia']"
178_20200618011145_14994,Chironomidae,"['Insecta', 'Animalia', 'Diptera', 'Chironomidae']"
290_20210825031127_30054,Chironomidae,"['Insecta', 'Animalia', 'Diptera', 'Chironomidae']"
148_20200627001735_2401,Chironomidae,"['Insecta', 'Animalia', 'Diptera', 'Chironomidae']"
174_20200725100322_39883,Insecta,"['Insecta', 'Animalia']"
296_20210814053034_5612,Cicadellidae,"['Insecta', 'Cicadellidae', 'Animalia', 'Hemiptera']"
103_20200724013941_37897,Chironomidae,"['Insecta', 'Animalia', 'Diptera', 'Chironomidae']"
126_20200813003101_26254,Chironomidae,"['Insecta', 'Animalia', 'Diptera', 'Chironomidae']"
126_20200707030349_1277_t,Diptera,"['Insecta', 'Animalia', 'Diptera']"
261_20210816000617_30414,Araneae,"['Animalia', 'Araneae', 'Arachnida']"
170_20200725010915_41176,Diptera,"['Insecta', 'Animalia', 'Diptera']"
192_20200804013101_16877,Caenidae,"['Caenidae', 'Ephemeroptera', 'Insecta', 'Animalia']"
153_20200620144324_276_t,Caenidae,"['Caenidae', 'Ephemeroptera', 'Insecta', 'Animalia']"
294_20210815034155_1350,Cicadellidae,"['Insecta', 'Cicadellidae', 'Animalia', 'Hemiptera']"
126_20200804231437_4884,Chironomidae,"['Insecta', 'Animalia', 'Diptera', 'Chironomidae']"
149_20200708034742_2386_t,Limoniidae,"['Insecta', 'Animalia', 'Diptera', 'Limoniidae']"
159_20200725044748_24414,Insecta,"['Insecta', 'Animalia']"
192_20200725054003_5161_t,Caenidae,"['Caenidae', 'Ephemeroptera', 'Insecta', 'Animalia']"
178_20200618011145_14815,Chironomidae,"['Insecta', 'Animalia', 'Diptera', 'Chironomidae']"
192_20200724112811_1631_t,Caenidae,"['Caenidae', 'Ephemeroptera', 'Insecta', 'Animalia']"
148_20200618020832_7472,Crambidae,"['Insecta', 'Animalia', 'Crambidae', 'Lepidoptera']"
296_20210820222757_5015,Cicadellidae,"['Insecta', 'Cicadellidae', 'Animalia', 'Hemiptera']"
185_20200810035307_33530,Insecta,"['Insecta', 'Animalia']"
141_20200725015806_35945,Diptera,"['Insecta', 'Animalia', 'Diptera']"
192_20200712185739_380_t,Caenidae,"['Caenidae', 'Ephemeroptera', 'Insecta', 'Animalia']"
196_20200808233933_723,Chironomidae,"['Insecta', 'Animalia', 'Diptera', 'Chironomidae']"
126_20200801023619_32752,Staphylinidae,"['Coleoptera', 'Insecta', 'Animalia', 'Staphylinidae']"
246_20210901224843_39554,Lepidoptera,"['Insecta', 'Animalia', 'Lepidoptera']"
196_20200816013928_5905,Chironomidae,"['Insecta', 'Animalia', 'Diptera', 'Chironomidae']"
196_20200814231614_3379,Chironomidae,"['Insecta', 'Animalia', 'Diptera', 'Chironomidae']"
271_20210914220600_11923,Diptera,"['Insecta', 'Animalia', 'Diptera']"
192_20200805230156_2104_t,Caenidae,"['Caenidae', 'Ephemeroptera', 'Insecta', 'Animalia']"
150_20200627012324_5771,Chironomidae,"['Insecta', 'Animalia', 'Diptera', 'Chironomidae']"
192_20200805230156_2092_t,Caenidae,"['Caenidae', 'Ephemeroptera', 'Insecta', 'Animalia']"
292_20210903235212_26530,Tipulidae,"['Insecta', 'Animalia', 'Diptera', 'Tipulidae']"
174_20200725154548_13791,Caenidae,"['Caenidae', 'Ephemeroptera', 'Insecta', 'Animalia']"
265_20210812234456_673_t,Chironomidae,"['Insecta', 'Animalia', 'Diptera', 'Chironomidae']"
153_20200620011615_18402,Caenidae,"['Caenidae', 'Ephemeroptera', 'Insecta', 'Animalia']"
120_20200625032451_16443,Insecta,"['Insecta', 'Animalia']"
192_20200714210351_953,Caenidae,"['Caenidae', 'Ephemeroptera', 'Insecta', 'Animalia']"
196_20200809024853_32142,Chironomidae,"['Insecta', 'Animalia', 'Diptera', 'Chironomidae']"
